stop_id,stop_code,stop_lat,stop_lon,location_type,wheelchair_boarding,name
5571,5571,52.11482,-106.735881,None,0,11th / Crescent Boulevard
3839,3839,52.119602,-106.75585,None,0,McCormack / Parr
5764,5764,52.143938,-106.706315,None,0,33rd / Avenue W
5567,5567,52.115238,-106.741443,None,0,Fairlight / 11th Street
4185,4185,52.114509,-106.635415,None,0,Cumberland / 8th Street
3541,3541,52.123724,-106.649994,None,0,Temperance / Colony
5908,5908,52.168056,-106.63897,None,0,Lawson Terminal I/B
3640,3640,52.100143,-106.639316,None,0,Ruth / Cairns
4083,4083,52.156844,-106.720287,None,0,Hampton Circle / Klassen
4108,4108,52.162381,-106.634413,None,0,Assiniboine / Ravine
4284,4284,52.148872,-106.717946,None,0,Junor / Ward
3078,3078,52.128968,-106.665696,None,0,1st Avenue / 22nd Street
3429,3429,52.104783,-106.609923,None,0,Arlington / Taylor
3590,3590,52.105227,-106.610022,None,0,Taylor / Arlington
4396,4396,52.151858,-106.673054,None,0,Avenue C / 38th Street
5737,5737,52.1147,-106.625636,None,0,8th Street / Grosvenor
4410,4410,52.131201,-106.59907,None,0,Central / 104th Street
3225,3225,52.143926,-106.680825,None,0,33rd Street / Avenue H
4222,4222,52.107088,-106.622822,None,0,Preston / Taylor
4018,4018,52.144556,-106.705853,None,0,Avenue W / Byers
5667,5667,52.083894,-106.633658,None,0,Gordon / Baillie
4460,4460,52.139456,-106.579685,None,0,Berini / Rogers
3088,3088,52.126052,-106.674858,None,0,20th Street / Avenue D
5715,5715,52.137302,-106.694227,None,0,Avenue P / 29th Street
3175,3175,52.132115,-106.654491,None,0,25th Street / 6th Avenue
3274,3274,52.153293,-106.663221,None,0,Quebec / 39th Street
4035,4035,52.123126,-106.580057,None,0,Boychuk / Waterloo
3931,3931,52.091507,-106.578404,None,0,Kingsmere / Bronson
3315,3315,52.113221,-106.618824,None,0,7th Street / Early
5748,5748,52.122706,-106.574953,None,0,Boychuk / Brandon
3147,3147,52.130771,-106.675158,None,0,23rd Street / Avenue D
5654,5654,52.143961,-106.666261,None,0,Ontario / 33rd Street
3323,3323,52.114696,-106.610512,None,0,8th Street / Arlington
3546,3546,52.122974,-106.650618,None,0,Temperance / 15th Street
3342,3342,52.11486,-106.631132,None,0,8th Street / Louise
4180,4180,52.119597,-106.634804,None,0,Cumberland / 12th Street
3275,3275,52.125129,-106.663823,None,0,3rd  / 20th
5589,5589,52.192316,-106.677996,None,0,Apex / Thatcher
5676,5676,52.095128,-106.646525,None,0,Clarence / Wilson
4433,4433,52.143764,-106.653386,None,0,33rd Street / 6th Avenue
3123,3123,52.126059,-106.667362,None,0,20th Street / Sears
4006,4006,52.164452,-106.647929,None,0,Millar / 46th Street
4141,4141,52.124001,-106.646334,None,0,Clarence / Colony
3239,3239,52.143776,-106.688614,None,0,33rd Street / Faulkner
4391,4391,52.108595,-106.705379,None,0,Fletcher / 1300-Block
3439,3439,52.161289,-106.643425,None,0,Assiniboine / St Lawrence
4431,4431,52.137145,-106.683229,None,0,29th Street / Avenue I
5902,5902,52.130212,-106.662823,None,0,Downtown Terminal East
5554,5554,52.079056,-106.615864,None,0,Vic / Assaly
4445,4445,52.155941,-106.645937,None,0,Rupert / 100-Block
5563,5563,52.110916,-106.729275,None,0,Ortona / Crerar
4043,4043,52.11956,-106.656872,None,0,Broadway / 12th Street
4251,4251,52.124518,-106.722116,None,0,Fairmont / Forrester
5408,5408,52.156979,-106.681931,None,0,Robin / Robin Way
4289,4289,52.141422,-106.55757,None,0,Muzyka / Stensrud
3900,3900,52.168161,-106.575743,None,0,Evergreen / Wyant
3405,3405,52.150935,-106.644887,None,0,Alexandra / 1600-Block
3818,3818,52.101622,-106.590132,None,0,McKercher / Taylor
Confederation,None,52.1339,-106.7215,1,0,Confederation Hub
5405,5405,52.163567,-106.679466,None,0,Hanselman / 45th Street
4061,4061,52.116443,-106.656871,None,0,Broadway / Main
5880,5880,52.104391,-106.57504,None,0,Heritage / Heritage Green
3132,3132,52.1292,-106.700647,None,0,22nd Street / Avenue T
3808,3808,52.177771,-106.646321,None,0,Millar / Molaro
3038,3038,52.114628,-106.703413,None,0,11th Street / Avenue W
3442,3442,52.152866,-106.67331,None,0,Avenue C / 39th Street
3884,3884,52.107579,-106.670283,None,0,Lorne / Taylor
3875,3875,52.100159,-106.614732,None,0,Louise / East Center
4352,4352,52.143636,-106.591455,None,0,Dunlop / 115th Street
5835,5835,52.129174,-106.680521,None,0,22nd Street / Avenue H
3128,3128,52.129156,-106.693923,None,0,22nd Street / Avenue P
3696,3696,52.152572,-106.592612,None,0,Rever / Fairbrother
4005,4005,52.144103,-106.705597,None,0,Avenue W / 33rd Street
3745,3745,52.108438,-106.739793,None,0,Dieppe / Simonds
3644,3644,52.177891,-106.633176,None,0,Russell / Meilicke
4053,4053,52.114389,-106.656885,None,0,Broadway / 8th Street
3457,3457,52.147776,-106.557382,None,0,Stensrud / Willowgrove
4321,4321,52.146122,-106.73403,None,0,Wedge / Manning
4054,4054,52.126584,-106.722996,None,0,Fairmont /Camponi exit
3258,3258,52.15069,-106.726618,None,0,37th Street / Sumner
3017,3017,52.129333,-106.689254,None,0,22nd Street / Avenue M
3330,3330,52.114546,-106.653765,None,0,8th Street / Dufferin
3997,3997,52.163786,-106.625926,None,0,Assinibone / Nahanni
5642,5642,52.156007,-106.684896,None,0,Robin / Saskatoon Inn
