trip_id,route_id,block_id,shape_id,service_id,direction,bikes,wheelchairs,headsign
958554,10125,b_51776,73459,3_merged_979669,1,0,0,City Centre
951933,10050,a_51494,73083,1_merged_979665,1,0,0,City Centre
950424,10022,a_51435,72968,1_merged_979665,1,0,0,City Centre
956310,10090,b_51583,73306,1_merged_979668,0,0,0,Riversdale
953401,10077,a_51383,73208,1_merged_979665,0,0,0,University
967598,10086,b_51608,73258,1_merged_979668,0,0,0,McCormack
956650,10095,b_51571,73323,1_merged_979668,1,0,0,Airport
948528,10010,a_51354,72874,2_merged_979667,1,0,0,Willowgrove
958654,10126,b_51773,73466,2_merged_979670,0,0,0,Kenderdine
960004,10152,b_51644,73585,2_merged_979670,1,0,0,Centre Mall via Main
948748,10011,a_51364,72880,2_merged_979667,0,0,0,Not in Service
951904,10050,a_51510,73077,1_merged_979665,0,0,0,Evergreen
950569,10023,a_51408,72971,1_merged_979665,1,0,0,Valley Road
955731,10087,b_51626,73275,3_merged_979669,0,0,0,Broadway
952123,10051,a_51532,73087,2_merged_979667,0,0,0,Kenderdine
956277,10089,b_51652,73304,3_merged_979669,1,0,0,City Centre
956348,10090,b_51585,73309,1_merged_979668,1,0,0,City Centre
957011,10097,b_51687,73339,3_merged_979669,1,0,0,City Centre
957726,10105,b_51810,73376,1_merged_979668,1,0,0,University
957735,10106,b_51730,73377,1_merged_979668,0,0,0,Sask Tel Centre
955913,10088,b_51564,73291,2_merged_979670,1,0,0,City Centre
956075,10089,b_51634,73304,1_merged_979668,1,0,0,City Centre
956076,10089,b_51632,73304,1_merged_979668,1,0,0,City Centre
956798,10095,b_51671,73324,2_merged_979670,1,0,0,City Centre
979645,10098,b_51615,73347,2_merged_979670,1,0,0,Valley Road
951855,10047,a_51507,73069,2_merged_979667,1,0,0,City Centre
957546,10100,b_51710,73356,3_merged_979669,1,0,0,College Park
958678,10126,b_51779,73470,2_merged_979670,1,0,0,City Centre
949285,10012,a_51378,72913,3_merged_979666,1,0,0,Broadway
955621,10087,b_51623,73275,2_merged_979670,0,0,0,Broadway
951124,10027,a_51423,72991,2_merged_979667,1,0,0,Centre Mall via Lorne
954866,10084,b_51586,73235,2_merged_979670,0,0,0,Hudson Bay Park
955405,10087,b_51619,73273,1_merged_979668,0,0,0,University
960192,10154,b_51646,73595,2_merged_979670,1,0,0,Centre Mall
956099,10089,b_51629,73304,1_merged_979668,1,0,0,City Centre
950487,10022,a_51438,72967,3_merged_979666,1,0,0,Out of Service
955629,10087,b_51622,73273,2_merged_979670,0,0,0,University
948832,10011,a_51368,72888,3_merged_979666,1,0,0,City Centre
959801,10151,b_51631,73580,1_merged_979668,1,0,0,Centre Mall via Taylor
958858,10127,b_51747,73476,3_merged_979669,1,0,0,University
951950,10050,a_51510,73083,1_merged_979665,1,0,0,City Centre
955031,10085,b_51605,73242,2_merged_979670,0,0,0,Mayfair
956384,10090,b_51586,73307,2_merged_979670,0,0,0,Riversdale
967523,10011,a_51360,72892,1_merged_979665,1,0,0,City Centre
956772,10095,b_51574,73323,2_merged_979670,1,0,0,Airport
951756,10047,a_51506,73065,1_merged_979665,0,0,0,Silverwood Heights
951796,10047,a_51486,73069,1_merged_979665,1,0,0,City Centre
948259,10008,a_51332,72859,3_merged_979666,1,0,0,City Centre
953057,10074,a_51552,73192,2_merged_979667,1,0,0,Hampton Village
955336,10086,b_51578,74410,3_merged_979669,0,0,0,Meadowgreen
949969,10016,a_51407,72938,1_merged_979665,1,0,0,City Centre
952326,10052,a_51499,73099,3_merged_979666,0,0,0,Lakeview
953177,10075,a_51530,73194,2_merged_979667,0,0,0,City Centre
949500,10014,a_51393,72926,1_merged_979665,0,0,0,Centre Mall
952637,10071,a_51512,73169,1_merged_979665,0,0,0,City Centre
958504,10125,b_51771,73455,2_merged_979670,0,0,0,Evergreen
948277,10009,a_51333,72860,1_merged_979665,0,0,0,Hudson Bay Park
956349,10090,b_51583,73309,1_merged_979668,1,0,0,City Centre
953485,10077,a_51399,73211,2_merged_979667,1,0,0,Centre Mall via Main
949418,10013,a_51319,72916,3_merged_979666,1,0,0,City Centre
956138,10089,b_51639,73304,1_merged_979668,1,0,0,City Centre
948317,10009,a_51336,72861,1_merged_979665,1,0,0,City Centre
955678,10087,b_51625,73281,2_merged_979670,1,0,0,Broadway
957923,10108,b_51739,73387,3_merged_979669,0,0,0,Lawson Heights
953345,10076,a_51398,73205,2_merged_979667,1,0,0,Centre Mall via Taylor
949861,10015,a_51340,72931,2_merged_979667,0,0,0,Riversdale
955033,10085,b_51605,73245,2_merged_979670,0,0,0,City Centre
955765,10087,b_51626,73271,3_merged_979669,0,0,0,City Centre
952442,10065,a_51451,73153,1_merged_979665,0,0,0,Lakeridge
959831,10151,b_51647,73578,2_merged_979670,0,0,0,University via Taylor
957821,10108,b_51734,73387,1_merged_979668,0,0,0,Lawson Heights
