index,postal_code,lat,lng,walkscore,da_id
2963,S7N 1Z3,52.131000,-106.590000,47110296,49
2964,S7N 1Z4,52.131000,-106.590000,47110296,49
2965,S7N 1Z5,52.143000,-106.629000,47110306,27
2966,S7N 1Z5,52.146000,-106.630500,47110306,9
2967,S7K 7Z9,52.167000,-106.626000,47110038,50
2968,S7N 1Z7,52.125000,-106.635000,47110106,73
2969,S7M 5Y3,52.114500,-106.726500,47110576,18
2970,S7M 5Y1,52.107000,-106.696500,47110540,21
2971,S7M 5Y1,52.104000,-106.735500,47110694,12
2972,S7K 4N8,52.170000,-106.612500,47110316,28
2973,S7K 4N9,52.171500,-106.614000,47110317,35
2974,S7K 4N9,52.170000,-106.611000,47110315,18
2975,S7K 4N4,52.168500,-106.614000,47110316,26
2976,S7K 4N5,52.168500,-106.614000,47110316,26
2977,S7K 4N6,52.170000,-106.612500,47110316,28
2978,S7K 4N7,52.168500,-106.614000,47110316,26
2979,S7K 4N7,52.170000,-106.611000,47110315,18
2980,S7K 4N1,52.168500,-106.617000,47110315,33
2981,S7K 4N2,52.168500,-106.614000,47110316,26
2982,S7K 4N2,52.168500,-106.617000,47110315,33
2983,S7K 4N3,52.168500,-106.615500,47110316,29
2984,S7K 1L9,52.126500,-106.663500,47110066,99
2985,S7K 1L8,52.128000,-106.662000,47110065,98
2986,S7K 1L3,52.128000,-106.662000,47110065,98
2987,S7K 6X1,52.177500,-106.635000,47110031,42
2988,S7K 1L1,52.125000,-106.665000,47110066,96
2989,S7K 6X3,52.186500,-106.620000,47110022,21
2990,S7K 6X4,52.188000,-106.624500,47110466,17
2991,S7K 6X5,52.183500,-106.653000,47110691,18
2992,S7K 6X6,52.125000,-106.660500,47110066,95
2993,S7K 6X7,52.125000,-106.660500,47110066,95
2994,S7L 4A2,52.146000,-106.701000,47110376,27
2995,S7L 4A2,52.146000,-106.705500,47110376,38
2996,S7L 4A3,52.146000,-106.705500,47110376,38
2997,S7L 4A1,52.146000,-106.701000,47110376,27
2998,S7L 4A1,52.147500,-106.699500,47110387,16
2999,S7L 4A6,52.147500,-106.695000,47110387,13
3000,S7L 4A6,52.149000,-106.696500,47110387,14
3001,S7L 4A7,52.149000,-106.698000,47110374,16
3002,S7L 4A7,52.147500,-106.695000,47110387,13
3003,S7L 4A4,52.134000,-106.705500,47110563,68
3004,S7L 4A5,52.153500,-106.689000,47110387,25
